"Row.names","logFC","logCPM","PValue","FDR","dko","sko"
"Pgm2",0.488537349390604,6.09342122271824,2.29074027420562e-08,4.07880824598696e-06,1460.25,1040.75
"1500015A07Rik",-1.16265930971521,2.14674223871999,2.48276751327032e-08,4.35932595871714e-06,49.75,110.75
"Coch",-0.988108633443635,4.80272347063518,3.24596387606081e-08,5.6212979892001e-06,342.5,679.75
"Gpx2",-0.94549494001616,3.6453444636223,3.53093363842022e-08,5.89259413533109e-06,156.25,300.75
"L2hgdh",-0.530017761241276,6.55256760977845,3.54245494609368e-08,5.89259413533109e-06,1409,2034.5
"Osmr",0.707845292206834,4.61636691126761,3.53204496669485e-08,5.89259413533109e-06,554.75,339.75
"Car2",0.421320763122056,9.50146575559988,3.83403012247535e-08,6.29478036471862e-06,15228.25,11371.75
"Rassf6",0.602441912048462,4.78181905475229,4.35035527863086e-08,7.0509219785194e-06,605.5,398.5
"Pde4c",0.844294246057471,4.41561414611055,4.56212695101176e-08,7.30055809046718e-06,499,277.75
"Aqp4",1.10347721141377,2.53775211426064,5.27805599335588e-08,8.34064798350063e-06,141.75,66
"Tmem246",-0.5179610158169,5.48865141260485,5.84074373444679e-08,9.11588670257733e-06,676.75,968.5
"Tap1",0.583370103790457,5.75880402303627,7.14247277494786e-08,1.1011602539133e-05,1188.75,793
"Olfml3",-0.613392198055146,5.49671575123716,9.25634360818143e-08,1.39307971303131e-05,654.25,1000.5
"Zdhhc2",0.703711024569226,3.92677828121936,9.19248841317052e-08,1.39307971303131e-05,342,210
"Adh6a",2.90937055515262,1.93591794285861,1.08289614152606e-07,1.61058506131441e-05,117.75,15.5
"Aqp1",-0.741279547861159,5.90310379948973,1.19687425887205e-07,1.73918211271959e-05,820.75,1373
"S100a6",-0.412672877541336,7.63936587268917,1.18568959772303e-07,1.73918211271959e-05,3138.25,4177.75
"Ide",0.509541349605282,7.23135156908605,1.4729364429271e-07,2.11600710357777e-05,3236.25,2273
"Clec16a",-0.421321494111846,5.4801399066457,1.5861660694696e-07,2.25306870227355e-05,699.5,936.5
"Colgalt1",-0.38739328018097,7.40748352659117,1.66012940501173e-07,2.33192843757314e-05,2699.25,3529.75
"Pea15a",0.457810287521888,8.25084709142935,1.70635352449727e-07,2.37051881941698e-05,6467,4708.75
"Cped1",-0.881536953591805,5.68953732366654,1.95763391225487e-07,2.69004433899196e-05,666,1226.75
"Agtr2",1.24481754536666,2.45949342237345,2.22709748185246e-07,3.02741573823429e-05,137.5,58
"Fndc1",0.741530664570883,7.48735433743863,2.32119302928168e-07,3.12175768895522e-05,4117.75,2462.75
"Parp14",0.459944376802462,6.59352008852573,2.51854685142793e-07,3.35152308376335e-05,2049.75,1489.75
"St6gal1",0.355886508033646,7.83406482880485,2.54924684844647e-07,3.35703944354795e-05,4698.5,3671.5
"Muc1",0.596252938463127,7.122594805436,2.64958411647078e-07,3.41796351024731e-05,3075.5,2034.25
"Slc38a6",0.702444315308928,4.36231990814882,2.63073039599132e-07,3.41796351024731e-05,463.75,285
"Trpm6",0.990666618108172,3.63963994495955,3.04059739366424e-07,3.88275073239427e-05,300,150.75
"Snapc1",-0.705947993099848,4.94385712405646,3.18617278199222e-07,4.02795963099457e-05,429,699.25
"Gli1",-1.51361266839554,3.73746519659246,3.38516174982065e-07,4.23714998428046e-05,126.75,361.25
"Cttn",0.459919421401,8.42218429704421,3.54973663474153e-07,4.39958534670612e-05,7287.75,5298.5
"A930033H14Rik",-1.12943491042237,1.89335063513471,3.59601611407333e-07,4.40336892483286e-05,42,91.75
"Wfdc1",-0.74838163691195,4.87877279204995,3.62245189196818e-07,4.40336892483286e-05,402.25,675.5
"Tppp",-1.32740602866711,2.94769951670644,3.73404555214204e-07,4.49579084477902e-05,79.75,201.25
"Hmgb2",-1.33365939144339,5.0002551750174,3.80330870496118e-07,4.49822300261575e-05,334.25,841.5
